,longitude
658,78.3405519
659,0.0
660,78.5088584
661,78.3817156
662,78.4054408
663,78.3567628
664,79.6808767
665,78.4054408
666,78.3322142
667,80.8334595
668,80.8334595
669,80.8334595
670,0.0
671,78.3365214
672,78.3926988
673,78.3519638
674,78.3519638
675,78.5592161
676,78.3365214
677,78.3825785
678,78.2674254
679,78.4200077
680,78.3567628
681,79.2579675
682,78.3825785
683,78.4102882
684,79.6808767
685,78.3961144
686,79.94467369931576
687,78.4054408
688,78.2873322
689,78.4206695
690,79.6808767
691,78.5184463
692,78.4054408
693,0.0
694,78.5368997
695,78.4850003
696,2.820229
697,78.4446705
698,0.0
699,78.2674254
700,78.4054408
701,0.0
702,78.3567628
703,78.4200077
704,78.4054408
705,78.3825785
706,80.8334595
707,78.0692712
708,78.3060359
709,78.3825785
710,78.5788551
711,0.0
712,78.3567628
713,78.4054408
714,77.9793799
715,78.3567628
716,78.3365214
717,78.50557
718,0.0
719,78.3519638
720,78.4624821
721,78.0692712
722,78.4331609
723,80.8334595
724,77.9793799
725,78.3817156
726,79.6808767
727,78.3817156
728,79.2579675
729,78.3152597
730,78.50851533497305
731,78.3911166
732,78.0692712
733,78.4399014
734,78.4399014
735,79.6808767
736,78.4342514
737,0.0
738,78.3825785
739,78.5788551
740,78.3547825
741,78.3365214
742,78.3817156
743,78.5601231
744,80.8334595
745,79.6808767
746,78.3854201
747,78.4776447
748,78.4054408
749,78.3817156
750,0.0
751,78.3519638
752,78.3567628
753,79.6808767
754,2.820229
755,-78.6604105
756,78.3916289
757,76.83632811755979
758,78.4008412
759,78.3365214
760,78.5601231
761,78.3010473
762,78.3567628
763,78.3405519
764,74.8415492
765,78.3861689281263
766,78.3961144
767,78.3961144
768,2.820229
769,78.3567628
770,78.3817156
771,78.0692712
772,23.4555283
773,78.5362644
774,79.6808767
775,78.3567628
776,78.3547825
777,0.0
778,79.6808767
779,78.2905401
780,78.4054408
781,78.3519638
782,78.4054408
783,-14.2412855
784,-78.6604105
785,0.0
786,78.4792282
787,78.4054408
788,78.3567628
789,78.3817156
790,78.5379433
791,79.6808767
792,78.5827841
793,78.5362644
794,78.3825785
795,0.0
796,79.6808767
797,78.3567628
798,78.3916289
799,78.34067239565113
800,-74.009271
801,78.52413306848177
802,78.5827841
803,-14.2412855
804,-14.2412855
805,0.0
806,0.0
807,80.8334595
808,78.4054408
809,78.6465257
810,79.6808767
811,78.3916289
812,78.4006536
813,78.2905401
814,78.2674254
815,78.2873322
816,78.4054408
817,78.3405519
818,78.5117854
819,78.34067239565113
820,78.5154568
821,78.4969683
822,78.4446705
823,78.3825785
824,79.6808767
825,0.0
826,78.0692712
827,78.3010473
828,78.3861689281263
829,77.9898759
830,78.2905401
831,0.0
832,78.5827841
833,78.36589
834,78.0692712
835,80.8334595
836,78.4054408
837,78.4399014
838,78.5020964
839,78.4585197
840,78.5117854
841,77.6796806
842,0.0
843,78.3861689281263
844,78.5123242
845,73.077714
846,78.4054408
847,73.077714
848,78.34067239565113
849,78.3519638
850,80.8334595
851,79.6808767
852,78.4054408
853,78.0692712
854,78.3010473
855,78.3567628
856,78.3825785
857,78.3519638
858,78.3567628
859,80.8334595
860,78.5092275
861,78.3961144
862,78.3405519
863,78.3547825
864,78.514912
865,78.4054408
866,78.3968876
867,78.4054408
868,78.50851533497305
869,78.3322142
870,78.3519638
871,0.0
872,79.6808767
873,78.4206695
874,73.077714
875,78.3817156
876,78.2905401
877,78.4054408
878,79.6808767
879,78.3916289
880,78.4792282
881,78.3322142
882,78.342306
883,80.8334595
884,78.3010473
885,78.3365214
886,78.3567628
887,2.820229
888,82.60728148676125
889,78.003997
890,79.6808767
891,78.34067239565113
892,79.7955465
893,2.820229
894,78.30112472247902
895,78.4008412
896,78.5368997
897,78.3961144
898,78.3635484
899,78.3060359
900,80.8334595
901,80.8334595
902,78.0692712
903,78.3519638
904,78.49462050784989
905,78.3365214
906,78.3817156
907,78.3547825
908,79.6808767
909,78.4467701
910,0.0
911,78.3825785
912,78.0692712
913,78.3961144
914,0.0
915,78.2641339
916,78.3817156
917,78.4054408
918,78.3817156
919,78.4006536
920,78.3963343
921,78.3817156
922,78.3961144
923,78.4399014
924,78.4446705
925,80.8334595
926,78.3010473
927,78.5424889
928,0.0
