,latitude
554,17.4258278
555,17.4177464
556,17.45121
557,17.5163573
558,17.4436222
559,17.4436222
560,17.3506317
561,17.39004015
562,17.46565735
563,16.449897
564,17.39999505
565,6.4318831
566,17.5271759
567,17.4930841
568,17.4258278
569,17.4522594
570,17.4440199
571,17.4981608
572,17.4436222
573,17.6788421
574,17.4930841
575,65.0563891
576,17.3506317
577,17.4774828
578,17.50679
579,17.5163573
580,19.0552645
581,17.50679
582,17.6788421
583,0.0
584,17.4120783
585,17.5284576
586,17.50679
587,17.4177464
588,17.4930841
589,17.8231821
590,17.4063352
591,18.0191012
592,16.449897
593,25.6030053
594,17.4436222
595,17.5271759
596,17.5163573
597,17.4892154
598,18.0191012
599,0.0
600,16.449897
601,17.5186631
602,17.6788421
603,17.6788421
604,6.4318831
605,17.4930841
606,0.0
607,17.4930841
608,17.39004015
609,17.4308362
610,17.451523
611,17.373017
612,17.3506317
613,17.3847673
614,17.39999505
615,0.0
616,17.4258278
617,17.6788421
618,17.3506317
619,17.46565735
620,17.4930841
621,17.4177464
622,17.50679
623,17.3847673
624,17.4031398
625,17.5284576
626,17.515397
627,17.4930841
628,17.4917948
629,17.4798689
630,17.4981608
631,17.5271759
632,17.5410548
633,17.39999505
634,18.0018724
635,19.1541986
636,17.4981608
637,17.5116535
638,17.3847673
639,17.39999505
640,17.46565735
641,18.0823869
642,17.4469418
643,28.657859
644,17.4436222
645,17.4535469
646,17.5163573
647,17.5271759
648,17.4930841
649,17.5330679
650,17.6788421
651,6.4318831
652,22.1041221
653,17.39999505
654,17.4200755
655,17.4930841
656,17.4405369
657,0.0
658,17.4258278
659,0.0
660,17.5022292
661,17.515397
662,17.4930841
663,17.4981608
664,17.6788421
665,17.4930841
666,17.4872976
667,16.449897
668,16.449897
669,16.449897
670,0.0
671,17.3948624
672,17.3351206
673,17.4436222
674,17.4436222
675,17.4668161
676,17.3948624
677,17.451523
678,17.5286092
679,17.5271759
680,17.4981608
681,19.1541986
682,17.451523
683,17.4308362
684,17.6788421
685,17.50679
686,29.3547048
687,17.4930841
688,18.0018724
689,17.4685307
690,17.6788421
691,17.4020016
692,17.4930841
693,0.0
694,17.4511764
695,17.4078455
696,6.4318831
697,17.4522594
698,0.0
699,17.5286092
700,17.4930841
701,0.0
702,17.4981608
703,17.5271759
704,17.4930841
705,17.451523
706,16.449897
707,18.0191012
708,17.4774828
709,17.451523
710,17.4405369
711,0.0
712,17.4981608
713,17.4930841
714,17.3847673
715,17.4981608
716,17.3948624
717,17.3975005
718,0.0
719,17.4436222
720,17.4440199
721,18.0191012
722,17.517411
723,16.449897
724,17.3847673
725,17.515397
726,17.6788421
727,17.515397
728,19.1541986
729,17.4798576
730,17.4256007
731,17.3664976
732,18.0191012
733,17.4177464
734,17.4177464
735,17.6788421
736,17.3942627
737,0.0
738,17.451523
739,17.4405369
740,17.5284576
741,17.3948624
742,17.515397
743,17.3775306
744,16.449897
745,17.6788421
746,17.5083929
747,17.4053896
748,17.4930841
749,17.515397
750,0.0
751,17.4436222
752,17.4981608
753,17.6788421
754,6.4318831
755,22.1041221
756,17.4408578
757,20.7326962
758,17.4939602
759,17.3948624
760,17.3775306
761,17.5163573
762,17.4981608
763,17.4258278
764,12.8722856
765,17.39999505
766,17.50679
767,17.50679
768,6.4318831
769,17.4981608
770,17.515397
771,18.0191012
772,42.6571059
773,17.373017
774,17.6788421
775,17.4981608
776,17.5284576
777,0.0
778,17.6788421
779,17.4535469
780,17.4930841
781,17.4436222
782,17.4930841
783,65.0563891
784,22.1041221
785,0.0
786,17.4755371
787,17.4930841
788,17.4981608
789,17.515397
790,17.4285479
791,17.6788421
792,17.4200755
793,17.373017
794,17.451523
795,0.0
796,17.6788421
797,17.4981608
798,17.4408578
799,17.46565735
800,40.7076681
801,17.54970955
802,17.4200755
803,65.0563891
804,65.0563891
805,0.0
806,0.0
807,16.449897
808,17.4930841
809,19.6443508
810,17.6788421
811,17.4408578
812,17.4057955
813,17.4535469
814,17.5286092
815,18.0018724
816,17.4930841
817,17.4258278
818,17.3768805
819,17.46565735
820,17.5330679
821,17.3926121
822,17.4522594
823,17.451523
824,17.6788421
825,0.0
826,18.0191012
827,17.5163573
828,17.39999505
829,29.1539372
830,17.4535469
831,0.0
832,17.4200755
833,17.4543363
834,18.0191012
835,16.449897
836,17.4930841
837,17.4177464
838,17.45121
839,17.4255053
840,17.3768805
841,15.9753367
842,0.0
843,17.39999505
844,17.4080204
845,31.4197963
846,17.4930841
847,31.4197963
848,17.46565735
849,17.4436222
850,16.449897
851,17.6788421
852,17.4930841
853,18.0191012
854,17.5163573
855,17.4981608
856,17.451523
857,17.4436222
858,17.4981608
859,16.449897
860,17.3959752
861,17.50679
